제목  저자  출판사  발간일  가격
불편한 편의점,김호연,나무옆의자,2021년 04월,12,600
불편한 편의점 2,김호연,나무옆의자,2022년 08월,12,600
아버지의 해방일지,정지아,창비,2022년 09월,13,500
하얼빈,김훈,문학동네,2022년 08월,14,400
작별인사,김영하,복복서가,2022년 09월,12,600
어서 오세요, 휴남동 서점입니다,황보름,클레이하우스,2022년 01월,13,500
달러구트 꿈 백화점 (레인보우 에디션),이미예,팩토리나인,2020년 07월,12,420
달러구트 꿈 백화점 2 (레인보우 에디션),이미예,팩토리나인,2021년 07월,12,420
지구 끝의 온실,김초엽,자이언트북스,2021년 08월,13,500
아몬드,손원평,창비,2017년 03월,12,600
밝은 밤,최은영,문학동네,2021년 07월,13,050
구의 증명,최진영,은행나무,2015년 03월,7,200
칵테일, 러브, 좀비,조예은,안전가옥,2020년 04월,9,000
이토록 평범한 미래,김연수,문학동네,2022년 10월,12,600
저주토끼,정보라,아작,2022년 04월,13,320
모순,양귀자,쓰다,2013년 04월,11,700
사랑의 이해,이혁진,민음사,2019년 04월,13,500
2022 제13회 젊은작가상 수상작품집,임솔아,문학동네,2022년 04월,6,930
달러구트 꿈 백화점 합본호,이미예,팩토리나인,2021년 12월,21,600
우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019년 06월,12,600
