,제목,저자,출판사,발간일,가격
0,책들의 부엌,김지혜,팩토리나인,2022년 05월,"13,050"
1,소년이 온다,한강,창비,2014년 05월,"12,600"
2,튜브,손원평,창비,2022년 07월,"13,500"
3,훌훌,문경민,문학동네,2022년 02월,"11,250"
4,천 개의 파랑,천선란,허블,2020년 08월,"12,600"
5,[최근담] 가꾸는 이의 즐거움,이유리,예스이십사,2022년 04월,0
6,저만치 혼자서,김훈,문학동네,2022년 06월,"13,500"
7,망원동 브라더스,김호연,나무옆의자,2013년 07월,"11,700"
8,회색 인간,김동식,요다,2017년 12월,"11,700"
9,난장이가 쏘아올린 작은 공,조세희,이성과 힘,2000년 07월,"11,700"
10,한국단편소설 40,성낙수,리베르,2012년 11월,"15,120"
11,트로피컬 나이트,조예은,한겨레출판,2022년 08월,"13,500"
12,"시선으로부터,",정세랑,문학동네,2020년 06월,"12,600"
13,[예스리커버] 완전한 행복,정유정,은행나무,2021년 06월,"14,220"
14,위저드 베이커리,구병모,창비,2022년 03월,"12,600"
15,애쓰지 않아도,최은영,마음산책,2022년 04월,"13,050"
16,친밀한 이방인,정한아,문학동네,2017년 10월,"11,700"
17,쇼코의 미소,최은영,문학동네,2016년 07월,"10,800"
18,지구에서 한아뿐,정세랑,난다,2019년 07월,"11,700"
19,종의 기원,정유정,은행나무,2016년 05월,"11,700"
20,살인자의 기억법,김영하,복복서가,2020년 08월,"9,000"
21,나는 소망한다 내게 금지된 것을,양귀자,쓰다,2019년 04월,"13,500"
22,가녀장의 시대,이슬아,이야기장수,2022년 10월,"13,500"
23,피프티 피플,정세랑,창비,2021년 08월,"12,600"
24,[최근담] 그래머블 제로 Grammable zero,박서련,예스이십사,2022년 05월,0
25,채식주의자,한강,창비,2022년 03월,"13,500"
26,하쿠다 사진관 ,허태연,놀,2022년 07월,"13,950"
27,크리스마스 타일,김금희,창비,2022년 11월,"13,500"
28,사서함 110호의 우편물,이도우,수박설탕,2022년 07월,"13,500"
29,방금 떠나온 세계,김초엽,한겨레출판,2021년 10월,"13,500"
30,파과,구병모,위즈덤하우스,2018년 04월,"12,600"
31,작별하지 않는다,한강,문학동네,2021년 09월,"12,600"
32,재벌집 막내아들 1,산경,테라코타,2022년 11월,"15,300"
33,여름의 빌라,백수린,문학동네,2020년 07월,"12,150"
34,아가미,구병모,위즈덤하우스,2018년 03월,"11,700"
35,재벌집 막내아들 2,산경,테라코타,2022년 11월,"15,300"
36,바깥은 여름,김애란,문학동네,2017년 06월,"11,700"
37,재벌집 막내아들 3,산경,테라코타,2022년 11월,"15,300"
38,칼의 노래,김훈,문학동네,2014년 01월,"13,500"
39,재벌집 막내아들 5,산경,테라코타,2022년 11월,"15,300"
40,재벌집 막내아들 4,산경,테라코타,2022년 11월,"15,300"
41,그 많던 싱아는 누가 다 먹었을까,박완서,웅진지식하우스,2021년 01월,"11,700"
42,나인,천선란,창비,2021년 11월,"13,500"
43,해가 지는 곳으로,최진영,민음사,2017년 06월,"12,600"
44,전지적 독자 시점 PART 1 - 01,싱숑,비채,2022년 01월,"12,150"
45,홍학의 자리,정해연,엘릭시르,2021년 07월,"12,600"
46,날씨가 좋으면 찾아가겠어요,이도우,시공사,2018년 07월,"12,420"
47,한국고전소설 40,권정현,리베르,2013년 01월,"15,120"
48,아몬드,손원평,창비,2022년 05월,"10,800"
49,재수사 1,장강명,은행나무,2022년 08월,"14,400"
50,세계를 건너 너에게 갈게,이꽃님,문학동네,2020년 11월,"11,700"
51,재수사 2,장강명,은행나무,2022년 08월,"14,400"
52,빨치산의 딸 1,정지아,필맥,2005년 05월,"8,550"
53,전지적 독자 시점 PART 1 - 02,싱숑,비채,2022년 01월,"12,150"
54,홈 스위트 홈,최진영,문학사상,2023년 02월,"13,950"
55,믿음에 대하여,박상영,문학동네,2022년 07월,"13,050"
56,전지적 독자 시점 PART 1 - 06,싱숑,비채,2022년 01월,"12,150"
57,전지적 독자 시점 PART 1 - 07,싱숑,비채,2022년 01월,"12,150"
58,빨치산의 딸 2,정지아,필맥,2005년 05월,"8,550"
59,불장난,손보미,문학사상,2022년 01월,"13,950"
60,전지적 독자 시점 PART 1 - 03,싱숑,비채,2022년 01월,"12,150"
61,전지적 독자 시점 PART 1 - 08,싱숑,비채,2022년 01월,"12,150"
62,전지적 독자 시점 PART 1 - 05,싱숑,비채,2022년 01월,"12,150"
63,"알로하, 나의 엄마들",이금이,창비,2020년 03월,"13,320"
64,나나,이희영,창비,2021년 10월,"11,700"
65,내게 무해한 사람,최은영,문학동네,2018년 06월,"12,150"
66,전지적 독자 시점 PART 1 - 04,싱숑,비채,2022년 01월,"12,150"
67,페인트,이희영,창비,2019년 11월,"10,800"
68,아라의 소설,정세랑,안온북스,2022년 08월,"13,500"
69,대도시의 사랑법,박상영,창비,2019년 07월,"12,600"
70,노랜드,천선란,한겨레출판,2022년 06월,"14,220"
71,원미동 사람들,양귀자,쓰다,2012년 12월,"11,700"
72,랑과 나의 사막,천선란,현대문학,2022년 10월,"11,700"
73,테스터,이희영,허블,2022년 11월,"12,600"
74,2022 김승옥문학상 수상작품집,편혜영,문학동네,2022년 09월,"9,000"
75,내게 남은 사랑을 드릴게요,이유리,자이언트북스,2023년 01월,"14,220"
76,아홉살 인생,위기철,현북스,2020년 05월,"10,800"
77,7년의 밤,정유정,은행나무,2011년 03월,"13,050"
78,장미의 이름은 장미,은희경,문학동네,2022년 01월,"13,500"
79,땀 흘리는 소설,김혜진,창비교육,2019년 03월,"13,500"
80,비행운,김애란,문학과지성사,2012년 07월,"10,800"
81,한국단편소설 70,박완서,리베르,2013년 01월,"15,120"
82,남한산성,김훈,학고재,2017년 07월,"14,400"
83,돌이킬 수 있는,문목하,아작,2018년 12월,"13,320"
84,클로버,나혜림,창비,2022년 09월,"12,600"
85,아홉수 가위,범유진,안전가옥,2021년 10월,"9,000"
86,유령의 마음으로,임선우,민음사,2022년 03월,"11,700"
87,귤의 맛,조남주,문학동네,2020년 05월,"11,250"
88,고구려 7,김진명,이타북스,2021년 06월,"14,220"
89,고래,천명관,문학동네,2004년 12월,"13,500"
90,행성어 서점,김초엽,마음산책,2021년 11월,"13,050"
91,새의 선물,은희경,문학동네,2022년 06월,"14,400"
92,1차원이 되고 싶어,박상영,문학동네,2021년 10월,"13,320"
93,광장/구운몽,최인훈,문학과지성사,2014년 12월,"10,800"
94,무진기행,김승옥,민음사,2007년 08월,"8,100"
95,百의 그림자,황정은,창비,2022년 02월,"13,500"
96,호수의 일,이현,창비,2022년 01월,"12,600"
97,므레모사,김초엽,현대문학,2021년 12월,"12,600"
98,두근두근 내 인생,김애란,창비,2011년 06월,"12,600"
99,소설 보다 : 봄 2022,김병운,문학과지성사,2022년 03월,"3,150"
100,마음에 없는 소리,김지연,문학동네,2022년 03월,"13,050"
101,칼의 노래,김훈,문학동네,2012년 01월,"12,600"
102,브로콜리 펀치,이유리,문학과지성사,2021년 10월,"12,600"
103,전지적 독자 시점 Part 1 : 제4의 벽 에디션 세트,싱숑,비채,2022년 01월,"115,200"
104,호텔 이야기,임경선,토스트,2022년 11월,"13,500"
105,엄마의 말뚝,박완서,세계사,2012년 01월,"16,200"
106,일의 기쁨과 슬픔 (특별한정판),장류진,창비,2021년 12월,"13,050"
107,달까지 가자,장류진,창비,2021년 04월,"12,600"
108,나는 나를 파괴할 권리가 있다,김영하,복복서가,2022년 05월,"10,350"
109,순이 삼촌,현기영,창비,2015년 03월,"13,500"
110,소나기 : 황순원 단편집,황순원,다림,2002년 01월,"8,100"
111,검은 꽃,김영하,복복서가,2020년 07월,"9,900"
112,보건교사 안은영 (리커버 특별판),정세랑,민음사,2020년 09월,"12,600"
113,"어느 날, 너의 심장이 멈출 거라 말했다",클로에 윤,팩토리나인,2021년 12월,"12,600"
114,목소리를 드릴게요,정세랑,아작,2020년 01월,"13,320"
115,나의 아름다운 정원,심윤경,한겨레출판,2013년 11월,"9,900"
116,나주에 대하여,김화진,문학동네,2022년 10월,"13,500"
117,여름과 루비,박연준,은행나무,2022년 07월,"13,050"
118,[예스리커버] 천 개의 파랑,천선란,허블,2022년 11월,"12,600"
119,메시지를 입력하세요,오휘명,히읏,2022년 02월,"13,770"
